#separator:tab
#html:true
Mit welchen Geräten bzw. Verfahren kann man Metabolite trennen und bestimmen?	<ul><li>Gas-Chromatografie-Massenspektrometrie<br></li><li>Flüssigchromatografie-Massenspektrometrie<br></li><li>Hochleistungsflüssigkeits-Chromatographie<br></li></ul>
"<div>Welches NAP ist das?</div>
<div style=""display: none""><div class=""cloze"" data-ordinal=""1"" data-shape=""rect"" data-left="".1248"" data-top="".0232"" data-width="".2711"" data-height="".096"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-70320eb61af175ae24a76288bf86be08a8369f54.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>
"	"<div>Welches NAP ist das?</div>
<div style=""display: none""><div class=""cloze-highlight"" data-ordinal=""1"" data-shape=""rect"" data-left="".1248"" data-top="".0232"" data-width="".2711"" data-height="".096"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-70320eb61af175ae24a76288bf86be08a8369f54.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>

<div><button id=""toggle"">Verdeckungen ein-/ausschalten</button></div>

"
"<div>Welches NAP ist das?</div>
<div style=""display: none""><div class=""cloze"" data-ordinal=""1"" data-shape=""rect"" data-left="".0402"" data-top="".0253"" data-width="".2321"" data-height="".1357"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-0f83f558ec85263006cd06a3fe4fdaf3cdbcc616.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>
"	"<div>Welches NAP ist das?</div>
<div style=""display: none""><div class=""cloze-highlight"" data-ordinal=""1"" data-shape=""rect"" data-left="".0402"" data-top="".0253"" data-width="".2321"" data-height="".1357"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-0f83f558ec85263006cd06a3fe4fdaf3cdbcc616.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>

<div><button id=""toggle"">Verdeckungen ein-/ausschalten</button></div>

"
"<div>Welches NAP ist das?</div>
<div style=""display: none""><div class=""cloze"" data-ordinal=""1"" data-shape=""rect"" data-left="".0214"" data-top="".0347"" data-width="".2357"" data-height="".119"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-89818cfc41255c6c77b53fe2f6c0fc865fbd0446.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>
"	"<div>Welches NAP ist das?</div>
<div style=""display: none""><div class=""cloze-highlight"" data-ordinal=""1"" data-shape=""rect"" data-left="".0214"" data-top="".0347"" data-width="".2357"" data-height="".119"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""paste-89818cfc41255c6c77b53fe2f6c0fc865fbd0446.jpg"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>

<div><button id=""toggle"">Verdeckungen ein-/ausschalten</button></div>

"
Wie funktioniert der Antagonismus zwischen H-NS und HU?	Ein entspanntes, geschlossenes ringförmiges DNA-Molekül wird entweder mit H-NS oder HU inkubiert. Ersteres bewirkt eine starke Verdichtung der DNA, während letzteres einen offenen Nukleoproteinkomplex erzeugt. Es schließt sich also gegenseitig aus.&nbsp;
Wie unterdrückt H-NS die Transkription?	"Die Bindung des H-NS-Proteins an die gekrümmten Bereiche der DNA (wo die DNA um eine an einen Promotor gebundene RNA-Polymerase gekrümmt ist) führt zu einem Nukleoproteinkomplex, der die RNA-Polymerase in der Initiationsphase der Transkription einfängt und den Promotor unterdrückt.<br><img src=""hnsrepression.jpg"">"
Was ist die Definition von Supercoils? 	Eine Form der DNA, die entweder positiv oder negativ überdreht ist
Was ist der Begriff zu Eine Form der DNA, die entweder positiv oder negativ überdreht ist?	Supercoils
Welche(s) der NAPs ist/sind ähnlich zu Histonen?	HU und H-NS
Alle auf den Folien genannten Eigenschaften von HU	• Histon-ähnlich<br>• Beteiligt an Bildung der DNA Topologie und Verpackung in Nukleotid<br>• induziert negatives Supercoiling in zirkuläre DNA m.H. von Topoisomerase<br>• Hilft bei long-range Interaktionen, durch die Strukturen höherer Ordnung<br>• Bindet an veränderte DNA (Nicks, Gaps, Forks, Overhangs
Alle auf den Folien genannten Eigenschaften von H-NS	• Histon-ähnlich<br>• Überbrückung zwischen relativ entfernten DNA Molekülen<br>• Schränkt short-range interactions ein<br>• Xenogenic silencing
Alle auf den Folien genannten Eigenschaften von Dps	• Schutzprotein<br>• Schützt vor oxidativen, stressbedingten Schäden<br>• Bindet Fe(II)
Alle auf den Folien genannten Eigenschaften von MukBEF	• Condensin-ähnlich<br>• Ringförmige Struktur<br>• Umkreist DNA und formt topologisch isolierte DNA Schleifen<br>• unterstützt long-range interactions<br>• besteht aus mehreren Untereinheiten
Welches der NAPs ist Condensin-ähnlich?	MukBEF
Wie läuft eine Konjugation ab?	<ol><li>Donor fährt Pilus aus</li><li>Donor und Rezipient nehmen über den Pilus Kontakt auf und nähern sich an</li><li>Bei Zellkontakt fusionieren sich die Membranen (teilweise)&nbsp;</li><li>Das F-Plasmid wird (bei der Kontaktstelle) repliziert und in den Rezipienten übertragen</li><li>Sie trennen sich wieder</li></ol>
Welche Aufgabe hat das Type IV secretion system?	Es kann Proteine und DNA durch die Zellmembran transportieren
Wie transportiert T4SS Nukleoproteine?	<ol><li>Donor nimmt über Pilus kontakt mit Rezipient auf</li><ol><li>Die Hilfsfaktoren TrwA und IHF binden an OriT des Plasmid</li><li>Relaxase schneidet DNA an der nic site</li></ol><li>Pilus zieht sich zurück und mitigiert damit Kontakt&nbsp;</li><ol><li>Membranen der Zellen fusionieren&nbsp;</li><li>Coupling Protein (D4) bewegt Relaxosom in Richtung des Sekretionskanals</li></ol><li>Nukleoprotein wird auf VirB11 übertragen&nbsp;</li><ol><li>Relaxase entfaltet sich wieder und bewegt sich inklusive der daran gebundenen DNA durch den Kanal</li></ol><li>VirB4 wird an der Basis des Sekretionskanals durch das Kopplungsprotein verdrängt, das die DNA-Translokation in 5'-3'-Richtung unterstützt<br></li></ol>
Was ist die Definition von Relaxase? 	ein einzelsträngiges DNA-Transesterase-Enzym -&nbsp;bindet Nukleinsäuren an einer bestimmten Sequenz, durchtrennt beide DNA-Stränge und leitet bei einer Konjugation einen Nukleinsäure-Strang durch einen Tunnel in das Nachbarbakterium
Was ist der Begriff zu ein einzelsträngiges DNA-Transesterase-Enzym -&nbsp;bindet Nukleinsäuren an einer bestimmten Sequenz, durchtrennt beide DNA-Stränge und leitet bei einer Konjugation einen Nukleinsäure-Strang durch einen Tunnel in das Nachbarbakterium?	Relaxase
Definition Relaxosom	Proteinkomplex, der den Plasmidtransfer während der bakteriellen Konjugation erleichtert. Die Proteine werden vom tra-Operon auf einem Fertilitätsplasmid in der Region nahe dem OriT codiert.
Proteinkomplex, der den Plasmidtransfer während der bakteriellen Konjugation erleichtert. Die Proteine werden vom tra-Operon auf einem Fertilitätsplasmid in der Region nahe dem OriT codiert.	Definition Relaxosom
Wie kann man mit Hilfe von HfR-Stämmen Genkarten erstellen?&nbsp;	Man kreuzt einen F+ Stamm mit Antibiotikaresistenz mit einem Hfr-Stamm ohne Resistenz und entnimmt zu verschiedenen Zeitpunkten Proben aus der Mischung. Die Proben trennt man im Mixer, damit die Konjugation beendet wird und plattiert sie auf einer Platte deren Medium Antibiotikum enhält aus. <br><br>Nach je mehr Zeit die Konjugation unterbrochen wurde, desto mehr Gene konnten übertragen werden. Dadurch kann man durch Analyse der gekreuzten Bakterien feststellen in welcher Reihenfolge die Gene übertragen werden, also in welcher Reihenfolge sie sich auf dem Plasmid befinden.&nbsp;
Was zeigt eine&nbsp;Restriktionskarte?&nbsp;	Die Positionen der Schnittstellen einzelner Restriktionsenzyme auf der DNA. Dadurch kann man anhand der Schnittstellen von unbekannten Fragmenten diese identifizieren.&nbsp;
Welche Bakterien haben eine DNA-Uptake Machinery?	Natürlich kompetente Bakterien&nbsp;
Ablauf der DNA-Aufnehme durch DNA-Uptake Machinery	<ol><li>DNA wird an Zelloberfläche gebunden</li><li>DNA wird m.H. eines Pilus durch Typ II Secretion Pore in die Zelle gezogen&nbsp;</li><li>Ein Strang wird in in das Cytoplasma übertragen, der andere abgebaut&nbsp;</li><li>Der neue Strang rekombiniert mit einer homologen Sequenz im Chromosom und verdrängt den ursprünglichen Strang.<br></li></ol>
Skizziere die Replikation von linearen prokaryotischen Chromosomen	"<img src=""linear1(1).jpg"">"
Was sind&nbsp;generelle Voraussetzungen für die DNA-Sequenzierung?	<ul><li>DNA muss in ausreichender Konzentration und Reinheit vorliegen<br></li><li>meist ist eine Art von Anreicherung identischer DNA-Moleküle notwendig<br></li></ul>
Was ist eine generelle Limitierung der DNA-Sequenzierung?	DNA-Sequenzierung kann mit keiner Methode über eine beliebige Moleküllänge erfolgen, die mögliche Leseweite ist begrenzt
Was ist die Definition von Epigenetik? 	Die Lehre von den vererbbaren Veränderungen des Phänotyps, die nicht mit Veränderungen der DNA-Sequenz einhergehen.
Was ist der Begriff zu Die Lehre von den vererbbaren Veränderungen des Phänotyps, die nicht mit Veränderungen der DNA-Sequenz einhergehen.?	Epigenetik
Was ist die Definition von Transposon? 	Transposable Element - eine mobile Nukleinsäuresequenz (Mobiles genetisches Element) mit der Fähigkeit zur Transposition
Was ist der Begriff zu Transposable Element - eine mobile Nukleinsäuresequenz (Mobiles genetisches Element) mit der Fähigkeit zur Transposition?	Transposon
Welches Genom gibt es nur in Pflanzenzellen?	Plastom
Was weißt auf den prokaryotischen Ursprung einiger der Organell-Genome hin?	Organellengenome weisen Merkmale auf, die an prokaryotische Genome erinnern (Endosymbiontentheorie).<br><br>Genomische Analysen zeigen, dass viele Gene in Mitochondrien und Chloroplasten eine enge Verwandtschaft mit Genen von bestimmten Gruppen von Bakterien aufweisen, wie Alphaproteobakterien im Fall von Mitochondrien und Cyanobakterien im Fall von Chloroplasten.
"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".1015"" data-top="".0401"" data-width="".1035"" data-height="".0925"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".2447"" data-top="".1807"" data-width="".0867"" data-height="".1117"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".2989"" data-top="".0285"" data-width="".1012"" data-height="".0771"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".4046"" data-top="".0000"" data-width="".1191"" data-height="".1156"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".526"" data-top="".1692"" data-width="".061"" data-height="".0944"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""6"" data-shape=""rect"" data-left="".5954"" data-top="".1749"" data-width="".066"" data-height="".0771"" data-occludeInactive=""1"" ></div><br><div class=""cloze"" data-ordinal=""7"" data-shape=""rect"" data-left="".5954"" data-top="".7958"" data-width="".1443"" data-height="".1098"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""8"" data-shape=""rect"" data-left="".8056"" data-top="".1383"" data-width="".0861"" data-height="".1079"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""9"" data-shape=""rect"" data-left="".7055"" data-top="".6431"" data-width="".1253"" data-height="".1791"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""10"" data-shape=""rect"" data-left="".8409"" data-top="".6507"" data-width="".1292"" data-height="".2215"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""11"" data-shape=""rect"" data-left="".3012"" data-top="".6334"" data-width="".1678"" data-height="".1425"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""12"" data-shape=""rect"" data-left="".238"" data-top="".8607"" data-width="".2567"" data-height="".2138"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""eukgenfilled.png"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>
"	"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".1015"" data-top="".0401"" data-width="".1035"" data-height="".0925"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".2447"" data-top="".1807"" data-width="".0867"" data-height="".1117"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".2989"" data-top="".0285"" data-width="".1012"" data-height="".0771"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".4046"" data-top="".0000"" data-width="".1191"" data-height="".1156"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".526"" data-top="".1692"" data-width="".061"" data-height="".0944"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""6"" data-shape=""rect"" data-left="".5954"" data-top="".1749"" data-width="".066"" data-height="".0771"" data-occludeInactive=""1"" ></div><br><div class=""cloze-highlight"" data-ordinal=""7"" data-shape=""rect"" data-left="".5954"" data-top="".7958"" data-width="".1443"" data-height="".1098"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""8"" data-shape=""rect"" data-left="".8056"" data-top="".1383"" data-width="".0861"" data-height="".1079"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""9"" data-shape=""rect"" data-left="".7055"" data-top="".6431"" data-width="".1253"" data-height="".1791"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""10"" data-shape=""rect"" data-left="".8409"" data-top="".6507"" data-width="".1292"" data-height="".2215"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""11"" data-shape=""rect"" data-left="".3012"" data-top="".6334"" data-width="".1678"" data-height="".1425"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""12"" data-shape=""rect"" data-left="".238"" data-top="".8607"" data-width="".2567"" data-height="".2138"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""eukgenfilled.png"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>

<div><button id=""toggle"">Verdeckungen ein-/ausschalten</button></div>

"
"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".1015"" data-top="".0401"" data-width="".1035"" data-height="".0925"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".2447"" data-top="".1807"" data-width="".0867"" data-height="".1117"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".2989"" data-top="".0285"" data-width="".1012"" data-height="".0771"" data-occludeInactive=""1"" ></div><br><div class=""cloze"" data-ordinal=""4"" data-shape=""rect"" data-left="".4046"" data-top="".0000"" data-width="".1191"" data-height="".1156"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".526"" data-top="".1692"" data-width="".061"" data-height="".0944"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""6"" data-shape=""rect"" data-left="".5954"" data-top="".1749"" data-width="".066"" data-height="".0771"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""7"" data-shape=""rect"" data-left="".5954"" data-top="".7958"" data-width="".1443"" data-height="".1098"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""8"" data-shape=""rect"" data-left="".8056"" data-top="".1383"" data-width="".0861"" data-height="".1079"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""9"" data-shape=""rect"" data-left="".7055"" data-top="".6431"" data-width="".1253"" data-height="".1791"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""10"" data-shape=""rect"" data-left="".8409"" data-top="".6507"" data-width="".1292"" data-height="".2215"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""11"" data-shape=""rect"" data-left="".3012"" data-top="".6334"" data-width="".1678"" data-height="".1425"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""12"" data-shape=""rect"" data-left="".238"" data-top="".8607"" data-width="".2567"" data-height="".2138"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""eukgenfilled.png"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>
"	"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".1015"" data-top="".0401"" data-width="".1035"" data-height="".0925"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""2"" data-shape=""rect"" data-left="".2447"" data-top="".1807"" data-width="".0867"" data-height="".1117"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".2989"" data-top="".0285"" data-width="".1012"" data-height="".0771"" data-occludeInactive=""1"" ></div><br><div class=""cloze-highlight"" data-ordinal=""4"" data-shape=""rect"" data-left="".4046"" data-top="".0000"" data-width="".1191"" data-height="".1156"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".526"" data-top="".1692"" data-width="".061"" data-height="".0944"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""6"" data-shape=""rect"" data-left="".5954"" data-top="".1749"" data-width="".066"" data-height="".0771"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""7"" data-shape=""rect"" data-left="".5954"" data-top="".7958"" data-width="".1443"" data-height="".1098"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""8"" data-shape=""rect"" data-left="".8056"" data-top="".1383"" data-width="".0861"" data-height="".1079"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""9"" data-shape=""rect"" data-left="".7055"" data-top="".6431"" data-width="".1253"" data-height="".1791"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""10"" data-shape=""rect"" data-left="".8409"" data-top="".6507"" data-width="".1292"" data-height="".2215"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""11"" data-shape=""rect"" data-left="".3012"" data-top="".6334"" data-width="".1678"" data-height="".1425"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""12"" data-shape=""rect"" data-left="".238"" data-top="".8607"" data-width="".2567"" data-height="".2138"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""eukgenfilled.png"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>

<div><button id=""toggle"">Verdeckungen ein-/ausschalten</button></div>

"
"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".1015"" data-top="".0401"" data-width="".1035"" data-height="".0925"" data-occludeInactive=""1"" ></div><br><div class=""cloze"" data-ordinal=""2"" data-shape=""rect"" data-left="".2447"" data-top="".1807"" data-width="".0867"" data-height="".1117"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".2989"" data-top="".0285"" data-width="".1012"" data-height="".0771"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".4046"" data-top="".0000"" data-width="".1191"" data-height="".1156"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".526"" data-top="".1692"" data-width="".061"" data-height="".0944"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""6"" data-shape=""rect"" data-left="".5954"" data-top="".1749"" data-width="".066"" data-height="".0771"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""7"" data-shape=""rect"" data-left="".5954"" data-top="".7958"" data-width="".1443"" data-height="".1098"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""8"" data-shape=""rect"" data-left="".8056"" data-top="".1383"" data-width="".0861"" data-height="".1079"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""9"" data-shape=""rect"" data-left="".7055"" data-top="".6431"" data-width="".1253"" data-height="".1791"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""10"" data-shape=""rect"" data-left="".8409"" data-top="".6507"" data-width="".1292"" data-height="".2215"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""11"" data-shape=""rect"" data-left="".3012"" data-top="".6334"" data-width="".1678"" data-height="".1425"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""12"" data-shape=""rect"" data-left="".238"" data-top="".8607"" data-width="".2567"" data-height="".2138"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""eukgenfilled.png"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>
"	"
<div style=""display: none""><div class=""cloze-inactive"" data-ordinal=""1"" data-shape=""rect"" data-left="".1015"" data-top="".0401"" data-width="".1035"" data-height="".0925"" data-occludeInactive=""1"" ></div><br><div class=""cloze-highlight"" data-ordinal=""2"" data-shape=""rect"" data-left="".2447"" data-top="".1807"" data-width="".0867"" data-height="".1117"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""3"" data-shape=""rect"" data-left="".2989"" data-top="".0285"" data-width="".1012"" data-height="".0771"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""4"" data-shape=""rect"" data-left="".4046"" data-top="".0000"" data-width="".1191"" data-height="".1156"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""5"" data-shape=""rect"" data-left="".526"" data-top="".1692"" data-width="".061"" data-height="".0944"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""6"" data-shape=""rect"" data-left="".5954"" data-top="".1749"" data-width="".066"" data-height="".0771"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""7"" data-shape=""rect"" data-left="".5954"" data-top="".7958"" data-width="".1443"" data-height="".1098"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""8"" data-shape=""rect"" data-left="".8056"" data-top="".1383"" data-width="".0861"" data-height="".1079"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""9"" data-shape=""rect"" data-left="".7055"" data-top="".6431"" data-width="".1253"" data-height="".1791"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""10"" data-shape=""rect"" data-left="".8409"" data-top="".6507"" data-width="".1292"" data-height="".2215"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""11"" data-shape=""rect"" data-left="".3012"" data-top="".6334"" data-width="".1678"" data-height="".1425"" data-occludeInactive=""1"" ></div><br><div class=""cloze-inactive"" data-ordinal=""12"" data-shape=""rect"" data-left="".238"" data-top="".8607"" data-width="".2567"" data-height="".2138"" data-occludeInactive=""1"" ></div><br></div>
<div id=""err""></div>
<div id=""image-occlusion-container"">
    <img src=""eukgenfilled.png"">
    <canvas id=""image-occlusion-canvas""></canvas>
</div>
<script>
try {
    anki.imageOcclusion.setup();
} catch (exc) {
    document.getElementById(""err"").innerHTML = `Fehler beim Laden der Bildverdeckung. Ist Ihre Anki-Version aktuell?<br><br>${exc}`;
}
</script>

<div><button id=""toggle"">Verdeckungen ein-/ausschalten</button></div>

"
