Transposition,Einbau eines DNA-Segments an einen anderen Ort im Genom.
5S-rRNA,"Bestandteil der ribosomalen RNA der großen ribosomalen Untereinheit, der in Eukaryoten durch RNA-Polymerase III transkribiert wird."
Poly(A)-Polymerase,"Enzym, das nach der Transkriptionsspaltung am 3'-Ende eukaryotischer prä-mRNA eine Poly(A)-Sequenz synthetisiert, indem es Adenosinreste ohne DNA-Matrize anfügt."
PABP (Poly(A)-binding protein),"Protein, das an den Poly(A)-Schwanz eukaryotischer mRNA bindet, diese stabilisiert, den Abbau hemmt und die Translationseffizienz erhöht."
Deadenylierung,"Enzymatischer Prozess der schrittweisen Verkürzung des Poly(A)-Schwanzes eukaryotischer mRNA, der häufig den Beginn des mRNA-Abbaus einleitet."
mRNA-Prozessierung,"Gesamtheit der posttranskriptionellen Modifikationen eukaryotischer prä-mRNA, einschließlich 5'-Capping, Spleißen und Polyadenylierung, die zur reifen mRNA führen."
Prä-Initiationskomplex,"Multiproteinkomplex aus RNA-Polymerase II und allgemeinen Transkriptionsfaktoren (TFIID, TFIIA, TFIIB, TFIIF, TFIIE, TFIIH), der sich am Core-Promotor bildet und die Initiation der Transkription ermöglicht."
basale Transkription,"Minimale Transkriptionsaktivität eines Gens, die allein durch den Core-Promotor, die allgemeinen Transkriptionsfaktoren und die RNA-Polymerase erreicht wird, ohne zusätzliche regulatorische Aktivatoren oder Repressoren."
UAS (Upstream Activating Sequence),"Regulatorische DNA-Sequenz stromaufwärts eines Promotors, an die Aktivatorproteine binden und dadurch die Transkription fördern. Besonders gut charakterisiert in Hefen."
URS (Upstream Repressing Sequence),"Regulatorische DNA-Sequenz stromaufwärts eines Promotors, an die Repressorproteine binden und dadurch die Transkription hemmen."
Response Element (RE),"Spezifische regulatorische DNA-Sequenz, an die bestimmte Transkriptionsfaktoren als Antwort auf zelluläre Signale binden und so die Genexpression regulieren. Beispiele sind das Estrogen Response Element (ERE) oder das Glucocorticoid Response Element (GRE)."
Downstream Promoter Element (DPE),"Core-Promotorelement der RNA-Polymerase II, das stromabwärts des Transkriptionsstarts liegt und insbesondere bei TATA-losen Promotoren zur Initiation der Transkription beiträgt."
BRE (TFIIB Recognition Element),"Core-Promotorelement, das von dem allgemeinen Transkriptionsfaktor TFIIB erkannt wird und die Bildung des Präinitiationskomplexes unterstützt."
MTE (Motif Ten Element),"Core-Promotorelement der RNA-Polymerase II, das stromabwärts des Transkriptionsstarts liegt und mit dem Initiator-Element (INR) und dem DPE zusammenwirken kann."
Terminationsfaktor,"Protein oder Proteinkomplex, der die Beendigung der Transkription vermittelt, indem er die RNA-Polymerase vom DNA-Template und das RNA-Transkript freisetzt."
Release-Faktor,"Protein, das während der Translation ein Stoppcodon erkennt und die Freisetzung der neu synthetisierten Polypeptidkette aus dem Ribosom auslöst."
TBP (TATA-box binding protein),"Protein des TFIID-Komplexes, das an die TATA-Box bindet und die Bildung des Präinitiationskomplexes für die Transkription einleitet."
Initiator-Element (INR),"Kernelement des RNA-Polymerase-II-Core-Promotors, das den Transkriptionsstart (+1) überlappt und die Initiation der Transkription unterstützt"
interner Promotor,"Promotor, dessen regulatorische Sequenzen innerhalb des transkribierten Gens liegen"
CAAT-Box,"Konserviertes regulatorisches Promotorelement eukaryotischer Gene, das die Effizienz der Transkription beeinflusst"
GC-Box,"GC-reiches regulatorisches Promotorelement, das Bindestellen für spezifische Transkriptionsfaktoren enthält"
Core-Promotor,"Minimaler DNA-Abschnitt eines Promotors, der für die Initiation der Transkription erforderlich ist"
Upstream Control Element,"Regulatorisches Promotorelement der RNA-Polymerase I, das stromaufwärts des Transkriptionsstarts liegt und die Transkription aktiviert"
TATA-Box,"AT-reiche Promotorsequenz eukaryotischer Gene, meist etwa 25 Basenpaare vor dem Transkriptionsstart"
Polyadenylierungssignal,"Sequenz im 3'-UTR eukaryotischer prä-mRNA (meist AAUAAA), die die Spaltung der RNA und anschließende Polyadenylierung durch die Poly(A)-Polymerase auslöst."
Trailer,"3'-nicht-translatierter Bereich (3'-UTR) einer mRNA, der nach dem Stoppcodon liegt und regulatorische Sequenzen wie das Polyadenylierungssignal enthalten kann."
Leader,"5'-nicht-translatierter Bereich (5'-UTR) einer mRNA, der vor dem Startcodon liegt und an der Regulation von Translation und Stabilität beteiligt ist."
Cap-Struktur,"Modifizierte 5'-Endstruktur eukaryotischer mRNA (7-Methylguanosin-Kappe), die die mRNA vor Abbau schützt, den Export aus dem Zellkern ermöglicht und die Translation initiiert."
Konsensus-Promotor,"Idealisierte DNA-Sequenz, die aus der Auswertung vieler Promotoren abgeleitet wird und die am häufigsten vorkommenden Basen an jeder Position darstellt."
Nukleolusorganisatorregion,"Chromosomale DNA-Region, die rRNA-Gene enthält und als Organisationszentrum für den Nukleolus dient, wo die rRNA-Synthese und Ribosomenassemblierung stattfinden."
rDNA,Enthält Gene für die für rRNA (rRNA-Gene)
RNA-dependent RNA polymerase (RDRP),"RNA-abhängige RNA-Polymerase, die RNA als Matrize verwendet, um neue RNA-Stränge zu synthetisieren. Kommt z. B. bei RNA-Viren und in bestimmten RNA-Interferenz-Systemen (z. B. siRNA-Verstärkung bei Pflanzen) vor."
DNA-abhängige RNA-Polymerase,"Enzym, das RNA anhand einer DNA-Matrize synthetisiert. In Eukaryoten existieren drei Haupttypen (RNA-Polymerase I, II und III), die jeweils unterschiedliche Klassen von Genen transkribieren."
nicht-kodogener Strang,"DNA-Strang, der die gleiche Basensequenz wie die transkribierte mRNA (bis auf Uracil statt Thymin) besitzt und nicht als Vorlage für die RNA-Synthese dient; auch Plus-Strang oder codierender Strang genannt."
Matrizenstrang,"DNA-Strang, der als Vorlage (Template-Strang) für die Transkription dient und komplementär zur entstehenden mRNA ist; auch Antisense-, kodogener oder Template-Strang genannt."
Endosymbionten-Hypothese,"Hypothese, dass Eukaryoten aus einer Endosymbiose prokaryotischer Vorläuferorganismen hervorgegangen sind. Demnach sind chemo- und phototrophe Bakterien von Archaeen aufgenommen worden, in denen sie sich zu Zellorganellen ihrer Wirtszellen entwickelt haben, darunter Mitochondrien und Plastiden."
paternale Vererbung,Vererbung genetischer Information über den väterlichen Elternteil
maternale Vererbung,Vererbung genetischer Information über den mütterlichen Elternteil
extranukleäre Vererbung,"Vererbung genetischer Information außerhalb des Zellkerns, insbesondere über mitochondriale oder plastidäre DNA"
``ab initio''-Genvorhersage,"Computergestützte Vorhersage von Genen allein anhand der genomischen DNA-Sequenz und charakteristischer Sequenzmerkmale wie Start- und Stopcodons, Spleißsignalen, offenen Leserahmen oder Codon-Nutzung, ohne experimentelle Vergleichsdaten zu verwenden"
extrinsische Genvorhersage,"Methode der Genvorhersage, bei der externe biologische Informationen wie cDNA-, RNA-Seq-, EST- oder Proteinsequenzen verwendet werden, um Gene in einem Genom zu identifizieren und ihre Struktur zu bestimmen"
intrinsische Genvorhersage,"Methode der Genvorhersage, die ausschließlich interne Merkmale der DNA-Sequenz wie offene Leserahmen, Spleißstellen, Promotoren oder statistische Eigenschaften codierender Regionen nutzt"
Vergleich von verwandten Genomen,"Wissenschaftsgebiet, das Ähnlichkeiten und Unterschiede zwischen DNA-Sequenzen, Genen, der Genreihenfolge, regulatorischen Sequenzen und anderen genomischen Merkmalen untersucht, um festzustellen, wie Organismen miteinander verwandt sind."
genetischer Marker,"Ein Gen oder eine DNA-Sequenz mit bekannter Position auf einem Chromosom, das bzw. die zur Identifizierung von Individuen oder Arten verwendet werden kann"
zentrales Dogma,"Wenn (sequenzielle) Information einmal in ein Protein übersetzt wurde, kann sie dort nicht wieder herausgelangen"
Diplohaplont,"Bei diesen Organismen können Mitosen sowohl in der diploiden als auch in der haploiden Phase stattfinden: es entstehen zwei unterschiedlich aussehende Organismen, ein haploider und ein diploider Organismus"
diploid,Auftreten von 2 homologen (mütterlichen und väterlichen) Chromosomensätzen (2 n) in den Kernen somatischer (2) Zellen
haploid,Auftreten von nur einem Chromosomensatz (1 n) in den Zellkernen
Reduktionsteilung,"Zellteilung, bei der vor der Teilung zu einer Verrringerung (Halbierung) des Chromosomensatzes kommt"
Schwesterchromatide,Durch identi- sche Verdopplung (Replikation) eines Chromosoms entstandene Chromatiden
Cohesin,"Proteinkomplexe, an deren Aufbau u.a. die sog. SMC-Proteine Proteine beteiligt sind. Haben nicht nur in der Mitose eine wichtige Funktion, sie sind darüber hinaus auch an der homologen Rekombination in der Meiose und an der Ausbildung von Chromatinschleifen im Interphase‐Zellkern beteiligt"
Mikrotubuli,Röhrenförmige Elemente des Zytoskeletts bei Eukaryonten. Durchmesser: 24 nm
Zentriole,"Zentralkörperchen; in der Nähe des Zellkerns gelegenes, meist paarweise (als Diplosom) vorkommendes Organell. Organisationszentrum für die Spindel. Die beiden Z.en sind rechtwinklig zueinander angeordnet, entsprechen in ihrem Aufbau den Basalkörpern von Zilien und Flagellen und sind wechselseitig in diese umwandelbar. Sind sind nur elektronen- mikroskopisch sichtbar."
Spindel,"Spindelförmige Anordnung von Mikrotubuli, die bei der Kernteilung die Chromosomen zu den beiden Spindelpolen (Zentriolen) transportieren."
Telomer,Die Enden der Chromosomen
Centromer,Spindelfaseransatzstelle (Spindel) der Chromosomen.
Kinetochor,"Mehrschichtiger Proteinkomplex am Centromer eines Chromosoms, der sich in der späten Prophase von Kernteilungen bildet"
Karyotyp,Vollständiger Satz von Metaphase- chromosomen
Pleiotropie,Vielfache Wirkung eines bestimmten Gens
Polygene Vererbung,siehe Polygenie
Multiple Allele,verschiedene Mutationsstufen ein und desselben Gens
Kopplung,"Assoziation von Genen auf dem gleichen Chromosom, die zur gemeinsamen Vererbung der entsprechenden Merkmale führt"
Rückkreuzung,"Von einer Rückkreuzung spricht man, wenn schon einer der beiden Eltern für beide rezessiven Allele homozygot war; allgemein nennt man diesen Kreuzungstyp Testkreuzung."
z-Form,Linksgängige Doppelhelix
b-Form,"Rechtsgängige doppelsträngige DNA-Doppelhelix, die im Vergleich zur A-Form entspannter ist und deren Nukleinbasen orthogonal zur Helixachse ausgerichtet sind. Sie ist die unter physiologischen Bedingungen typisch vorliegende Form doppelsträngiger DNA, z. B. bei Chromosomen in Zellen"
a-Form,"Rechtsgängige doppelsträngige DNA-Doppelhelix, die im Vergleich zur B-Form kompakter ist und deren Nukleinbasen nicht orthogonal zur Helixachse ausgerichtet sind. Sie ist die bei niedriger Feuchtigkeit vorliegende Form doppelsträngiger DNA, z. B. bei getrockneter DNA oder DNA-Kristallen"
Nukleotid,"Baustein der Nucleinsäuren, der aus einem Nucleosid und einer daran gebundenen Phosphatgruppe besteht"
Nukleosid,"Bausteine der Nukleinsäuren, die aus je einer Purin- oder Pyrimidinbase und einem Ribose- oder Desoxyribosezucker bestehen"
Wildtyp,In der Natur auftretende genetische Normalform des Genotyps und Phänotyps
Mutante,Ein durch eine Mutation neu entstandenes Merkmal
Phänotyp,Erscheinungsbild eines Organismus
Genotyp,Gesamtheit der Erbanlagen (der in DNA kodierten genetischen Information) eines Organismus
"asexuelle Fortpflanzung (vegetative, ungeschlechtliche)","Erzeugung von Nachkommen, die identisch zu den Eltern sind. Die genetisch identischen Nachkommen stellen einen Klon dar. (Ausnahme: Mutationen)"
Flavonoide,Eine Art von Farbstoffen.
Gentik,"Die Wissenschaft, die sich mit den Gesetzen der Vererbung und der Variabilität der Organismen beschäftigt."
"sexuelle Fortpflanzung (generative, geschlechtliche)","Erzeugung von Nachkommen, die eine Neukombination der Gene/Allele der Eltern tragen. Es entstehen individuelle und einzigartige Nachkommen."
Vererbung,Weitergabe von Merkmalen (z.B. Augenfarbe) an die nachfolgende Generation
Variabilität,"Unterschiede der Nachkommen gegenüber ihren Eltern, auch Unterschiede der Mitglieder einer Population untereinander"
Transmembran-Domäne,"Hydrophober Proteinabschnitt, der eine Zellmembran durchspannt und meist als Alpha-Helix vorliegt. Membranproteine können eine oder mehrere solcher Domänen besitzen."
GTPase Ran,"Kleines G-Protein, das zwischen einer GTP- und einer GDP-gebundenen Form wechselt und dadurch als molekularer Schalter für den Kern-Zytoplasma-Transport dient. RanGTP ist im Zellkern angereichert, RanGDP im Zytoplasma, wodurch die Richtung des Transports durch NPCs festgelegt wird."
Kernporenkomplex,"Großer Proteinkomplex in der Kernhülle, der den selektiven Transport von Molekülen zwischen Zellkern und Zytoplasma ermöglicht."
snRNP,"Komplex aus kleiner nukleärer RNA (snRNA) und Proteinen. Hauptbestandteil des Spleißosoms, katalysiert das Spleißen von prä-mRNA."
hRNP,"Komplex aus heterogener nukleärer RNA (prä-mRNA) und Proteinen. Bindet naszierende Transkripte und ist an Prozessierung, Stabilität und Export der RNA beteiligt."
mRNP,Komplex aus reifer mRNA und gebundenen Proteinen. In dieser Form wird die mRNA aus dem Kern exportiert und im Zytoplasma transportiert und translatiert.
Nuclear Localization Signal,"Kurze, meist basische Aminosäuresequenz in einem Protein, die von Importinen erkannt wird und den Kernimport über NPCs vermittelt."
Nuclear Export Signal,"Kurze, meist leucinreiche Aminosäuresequenz, die von Exportinen (z. B. CRM1) erkannt wird und den Export eines Proteins aus dem Zellkern vermittelt."
translocon on the inner chloroplast membrane,"Proteinkomplex in der inneren Chloroplastenmembran, der gemeinsam mit TOC den Import kernkodierter Proteine in den Chloroplasten vermittelt."
translocon on the outer chloroplast membrane,"Proteinkomplex in der äußeren Chloroplastenmembran, erkennt Transitpeptide kernkodierter Vorläuferproteine und leitet sie an TIC weiter."
"translocator of the
inner (mitochondrial)
membrane","Proteinkomplex in der inneren Mitochondrienmembran, importiert kernkodierte Vorläuferproteine in die mitochondriale Matrix oder inseriert sie in die Innenmembran."
"translocator of the
outer (mitochondrial)
membrane","Proteinkomplex in der äußeren Mitochondrienmembran, erste Erkennungs- und Translokationsstelle für kernkodierte mitochondriale Vorläuferproteine."
spontane Mutation,"Mutation, die ohne äußeren mutagenen Einfluss entsteht, z. B. durch Replikationsfehler oder tautomere Basenverschiebung."
induzierte Mutation,"Mutation, die durch äußere Einflüsse wie Chemikalien, Strahlung oder andere Mutagene verursacht wird."
basale Mutationsrate,"Häufigkeit, mit der spontane Mutationen pro Gen oder Genom und Generation ohne zusätzliche mutagene Einwirkung auftreten."
Rekombinationsfrequenz,Anteil rekombinanter Nachkommen an der Gesamtzahl der Nachkommen einer Kreuzung. Maß für den genetischen Abstand zweier Loci.
Kolinearität,Übereinstimmung der linearen Reihenfolge von Genen auf der DNA mit der Reihenfolge der genetischen Kopplungskarte beziehungsweise mit der Aminosäurereihenfolge im codierten Protein.
Excisionsreparatur,"DNA-Reparaturmechanismus, bei dem ein geschädigter DNA-Abschnitt herausgeschnitten und anhand des komplementären Strangs neu synthetisiert wird (Basen- oder Nukleotidexcisionsreparatur)."
Photoreparatur,"Lichtabhängiger Reparaturmechanismus, bei dem das Enzym Photolyase UV-induzierte Pyrimidindimere unter Einwirkung von sichtbarem Licht direkt spaltet."
Interkalation,Einlagerung planarer Moleküle zwischen benachbarte Basenpaare der DNA-Doppelhelix. Verzerrt die Helix und kann zu Leserasterverschiebungen bei der Replikation führen.
Diplont,"Organismus, dessen vorherrschende Lebensform diploid ist. Die haploide Phase beschränkt sich auf die Gameten."
Haplont,"Organismus, dessen vorherrschende Lebensform haploid ist. Nur die Zygote ist diploid und durchläuft sofort eine Meiose."
Schwesterchromosom,todo
oriC,"Replikationsursprung des bakteriellen Chromosoms (z. B. bei E. coli), Startpunkt der bidirektionalen DNA-Replikation."
bidirektionale Replikation,"Replikationsmodus, bei dem sich von einem Replikationsursprung aus zwei Replikationsgabeln in entgegengesetzte Richtungen bewegen."
konservative Replikation,"Widerlegtes Replikationsmodell, nach dem der gesamte elterliche Doppelstrang erhalten bleibt und eine komplett neue Tochterdoppelhelix entsteht."
diskontinuierliche Replikation,"Replikationsmodus, bei dem mindestens ein Strang, der Folgestrang, diskontinuierlich in kurzen Okazaki-Fragmenten synthetisiert wird."
semikonservative Replikation,"Tatsächlicher Replikationsmodus der DNA, bei dem jede Tochter-Doppelhelix aus einem alten Matrizenstrang und einem neu synthetisierten Strang besteht (Meselson-Stahl-Experiment)."
$c_0 t$-Analyse,"Methode zur Bestimmung der Reassoziationskinetik denaturierter DNA. Anhand der C0t-Kurve lassen sich Anteile repetitiver, mittelrepetitiver und einzigartiger DNA-Sequenzen im Genom abschätzen."
Epistasie,"Wechselwirkung zwischen Genen an unterschiedlichen Loci, bei der die Ausprägung eines Gens durch ein oder mehrere andere Gene maskiert oder verändert wird."
Umwelteinfluss auf den Phänotyp,"Modifikation der Ausprägung eines Genotyps durch äußere Umweltfaktoren, z. B. Temperatur oder Ernährung, sodass derselbe Genotyp unterschiedliche Phänotypen hervorbringen kann."
Zweifaktor-Kreuzung,"Kreuzungsexperiment, bei dem gleichzeitig die Vererbung zweier Merkmale (zwei Genorte) verfolgt wird, dient z. B. der Prüfung auf unabhängige Vererbung nach Mendel."
Punnett-Schema,Tabellarisches Schema zur systematischen Darstellung aller möglichen Gameten-Kombinationen einer Kreuzung und der daraus resultierenden Genotyp- und Phänotypverhältnisse.
Merkmalsform,"Konkrete Ausprägung eines Merkmals, entspricht dem Phänotyp, der durch ein bestimmtes Allel oder eine Allelkombination bedingt wird."
Händigkeit,"Chiralität eines Moleküls, beschreibt ob es in einer links- oder rechtsdrehenden Form vorliegt, relevant z. B. bei Zuckern und Aminosäuren."
Purin,Stickstoffhaltige Base mit bicyclischem Ringsystem. Zu den Purinen zählen Adenin und Guanin.
GTPase,"Enzym, das GTP zu GDP und anorganischem Phosphat hydrolysiert und dadurch als molekularer Schalter in Signaltransduktion und Transportprozessen fungiert."
Pyrimidin,"Stickstoffhaltige Base mit monocyclischem Ringsystem. Zu den Pyrimidinen zählen Cytosin, Thymin und Uracil."
Kopplungsgruppe,"Gruppe von Genen, die auf demselben Chromosom liegen und daher tendenziell gemeinsam vererbt werden, da sie seltener durch Rekombination getrennt werden."
Alu-Repeats,"Familie kurzer, etwa 300 bp langer repetitiver DNA-Sequenzen (SINEs), die im menschlichen Genom in sehr hoher Kopienzahl vorkommen."
SMC-Proteine,"Familie chromosomaler ATPasen (Structural Maintenance of Chromosomes), beteiligt an Chromosomenkondensation, Schwesterchromatidkohäsion und DNA-Reparatur, z. B. Condensin und Cohesin."
Chromosomen-Abberation,"Strukturelle oder numerische Veränderung von Chromosomen gegenüber dem Normalzustand, z. B. Deletion, Duplikation, Inversion, Translokation oder Aneuploidie."
X-Chromosom,"Eines der beiden Geschlechtschromosomen bei Säugetieren, bei Frauen in zwei Kopien (XX), bei Männern in einer Kopie (XY) vorhanden."
Tetrade,"Gruppe der vier haploiden Zellen (Sporen), die aus einer Meiose einer diploiden Zelle hervorgehen."
MYB,"Familie von Transkriptionsfaktoren mit charakteristischer MYB-DNA-Bindedomäne, reguliert unter anderem Zelldifferenzierung und Sekundärstoffwechsel in Pflanzen."
DNA binding domain,"Proteindomäne eines Transkriptionsfaktors, die sequenzspezifisch an DNA bindet und dadurch die Genregulation vermittelt."
bHLH Domäne,"DNA-Bindedomäne von Transkriptionsfaktoren, bestehend aus einer basischen Region zur DNA-Bindung und zwei Alpha-Helices, die die Dimerisierung mit einem weiteren bHLH-Protein ermöglichen."
bZIP Domäne,"DNA-Bindedomäne von Transkriptionsfaktoren, bestehend aus einer basischen Region zur DNA-Bindung und einem Leucin-Zipper-Motiv, das die Dimerisierung zweier Untereinheiten vermittelt."
Tetradenanalyse,"Genetische Methode, bei der die vier Produkte einer einzelnen Meiose gemeinsam analysiert werden, um Kopplung, Rekombination oder Genkonversion nachzuweisen, vor allem bei Pilzen wie Neurospora."
co-dominant,"Vererbungsmuster, bei dem beide Allele eines heterozygoten Genotyps gleichzeitig und vollständig im Phänotyp exprimiert werden, ohne dass eines das andere maskiert."
Hardy-Weinberg Gesetz,"Populationsgenetisches Modell, das beschreibt, unter welchen Idealbedingungen (keine Selektion, Mutation, Migration, zufällige Paarung) Allel- und Genotypfrequenzen in einer Population über Generationen konstant bleiben."
X-Chromosom Inaktivierung,"Prozess bei weiblichen Säugetieren, bei dem eines der beiden X-Chromosomen pro Zelle zufällig und stabil inaktiviert wird, um die Gendosis im Vergleich zu männlichen Individuen auszugleichen."
300 nm Fibrille,"Höhere Verpackungsebene des Chromatins, bei der die 30-nm-Chromatinfaser durch Ausbildung von Schleifen weiter zu einer etwa 300 nm dicken Struktur kondensiert wird."
Chromatinschleife,"Schleifenförmige Struktur, in der Chromatinfasern an ein Proteingerüst (Scaffold) verankert werden. Ermöglicht die Kondensation des Chromatins auf höhere Verpackungsebenen."
DNA-Fingerabdruck,"Individuenspezifisches Muster, das durch Analyse hochvariabler, repetitiver DNA-Abschnitte (z. B. VNTRs, STRs) entsteht und zur Identifizierung von Personen genutzt wird."
simple-sequence length polymorphism (SSLP),"Kurzer, in der Länge variabler, sich wiederholender DNA-Abschnitt (z. B. Mikrosatellit), dessen Längenpolymorphismus als genetischer Marker genutzt wird."
Out of Africa - Hypothese,"Hypothese, dass die Gattung Homo ihren Ursprung in Afrika hatte („Wiege der Menschheit“) und dass sich deren Angehörige von dort über die ganze Welt verbreiteten"
exon shuffling,"Die Hypothese, das Gene durch Rekombination von verschiedenen Exons evolviert sind, und die frühen Exons für einzelne funktionelle Protein-Domänen kodieren."
“introns first” hypothesis,Gene für Proteine oder für (katalytisch aktive) RNAs sind wahrscheinlich in einer Form mit Introns entstanden.
“introns late” model,"Die frühen Gene enthielten keine Introns, sondern die Introns sind erst später in der Evolution in einige Gene aufgenommen worden."
